Date,ret
20160412  18:00:00,1.0
20160412  19:00:00,1.0
20160412  20:00:00,1.0001249485290393
20160412  21:00:00,1.000805691993715
20160413  15:30:00,1.0064097098765707
20160413  16:00:00,1.005467043986158
20160413  17:00:00,1.003306863810727
20160413  18:00:00,1.0023651129956646
20160413  19:00:00,1.001325237295453
20160413  20:00:00,1.0031923100619506
20160413  21:00:00,1.0076913154323193
20160414  15:30:00,1.0006957819361935
20160414  16:00:00,1.0011333381152585
20160414  17:00:00,1.0021776784972052
20160414  18:00:00,1.003623221727183
20160414  19:00:00,1.0007935343613177
20160414  20:00:00,1.0011781802931319
20160414  21:00:00,1.0029959720559338
20160415  15:30:00,1.0011105617990985
20160415  16:00:00,0.9997423115996905
20160415  17:00:00,1.000993337734012
20160415  18:00:00,1.0005837078852033
20160415  19:00:00,0.9970004039774689
20160415  20:00:00,0.9976078669662976
20160415  21:00:00,0.9956824064059672
20160418  15:30:00,0.9891395535900467
20160418  16:00:00,0.989331496685327
20160418  17:00:00,0.9886946690805054
20160418  18:00:00,0.9911472608305998
20160418  19:00:00,0.9918016721435615
20160418  20:00:00,0.9917768055086851
20160418  21:00:00,0.9936038374187319
20160419  15:30:00,0.9924062505608597
20160419  16:00:00,0.9924104117065368
20160419  17:00:00,0.9887981283909235
20160419  18:00:00,0.9896950331372776
20160419  19:00:00,0.9925379807124449
20160419  20:00:00,0.9909301789051446
20160419  21:00:00,0.9913898064998684
20160420  15:30:00,0.9970656975626541
20160420  16:00:00,0.9969101881167176
20160420  17:00:00,1.0021937272871655
20160420  18:00:00,1.0022048299969253
20160420  19:00:00,1.003004104093173
20160420  20:00:00,1.0037407780070726
20160420  21:00:00,1.0016965749100009
20160421  15:30:00,0.997600158303917
20160421  16:00:00,1.0013524936113243
20160421  17:00:00,0.9984690742144714
20160421  18:00:00,0.9980607558135698
20160421  19:00:00,0.9978748547941788
20160421  20:00:00,0.9975362493493152
20160421  21:00:00,0.9983960184241875
20160422  15:30:00,0.9962810417855994
20160422  16:00:00,0.984990074351298
20160422  17:00:00,0.9870222877577178
20160422  18:00:00,0.9864270294678612
20160422  19:00:00,0.989896132086086
20160422  20:00:00,0.9934687325494441
20160422  21:00:00,0.9928668277475763
20160425  15:30:00,0.9879100738766475
20160425  16:00:00,0.9854445847039838
20160425  17:00:00,0.9867355757647264
20160425  18:00:00,0.987740596977581
20160425  19:00:00,0.9875004633932831
20160425  20:00:00,0.9868218910689989
20160425  21:00:00,0.9872223067947457
20160426  15:30:00,0.9927720038579478
20160426  16:00:00,0.9853525409077429
20160426  17:00:00,0.9877995488091373
20160426  18:00:00,0.9857544287344112
20160426  19:00:00,0.9850105681353836
20160426  20:00:00,0.984233612900792
20160426  21:00:00,0.9859692376667535
20160427  15:30:00,0.9695013336116157
20160427  16:00:00,0.974139578612214
20160427  17:00:00,0.9795557893479032
20160427  18:00:00,0.9770587932020955
20160427  19:00:00,0.9768394687021807
20160427  20:00:00,0.9776002647056669
20160427  21:00:00,0.9826327919329115
20160428  15:30:00,0.9912737128056094
20160428  16:00:00,0.9941169400672433
20160428  17:00:00,0.9903858109836293
20160428  18:00:00,0.9861209876077611
20160428  19:00:00,0.9846796386475943
20160428  20:00:00,0.9807062773600316
20160428  21:00:00,0.9721170328154214
20160429  15:30:00,0.9582673717157801
20160429  16:00:00,0.9630316395022864
20160429  17:00:00,0.9574476099331253
20160429  18:00:00,0.9569311697145737
20160429  19:00:00,0.9585463212212197
20160429  20:00:00,0.9576992672291623
20160429  21:00:00,0.9628553671357182
20160502  15:30:00,0.9600943484677991
20160502  16:00:00,0.9596943584660111
20160502  17:00:00,0.9608366803873393
20160502  18:00:00,0.9623920516272676
20160502  19:00:00,0.9631920847900071
20160502  20:00:00,0.9645770510440342
20160502  21:00:00,0.9648553442218101
20160503  15:30:00,0.9575265965790851
20160503  16:00:00,0.9548271182381786
20160503  17:00:00,0.9551312590135342
20160503  18:00:00,0.9577496713935434
20160503  19:00:00,0.9606034083694517
20160503  20:00:00,0.9598203494504477
20160503  21:00:00,0.9584451421793575
20160504  15:30:00,0.9562464833796495
20160504  16:00:00,0.9546886847097923
20160504  17:00:00,0.9526023330863771
20160504  18:00:00,0.9503402181882745
20160504  19:00:00,0.9514375791613043
20160504  20:00:00,0.9528322771296746
20160504  21:00:00,0.9550366461854145
20160505  15:30:00,0.9557893708101685
20160505  16:00:00,0.9583252439703256
20160505  17:00:00,0.9597633142839768
20160505  18:00:00,0.9579811093226897
20160505  19:00:00,0.9565661405476398
20160505  20:00:00,0.9561736005559015
20160505  21:00:00,0.9544202360561843
20160506  15:30:00,0.9545417043363762
20160506  16:00:00,0.9541748133352046
20160506  17:00:00,0.9549612297431631
20160506  18:00:00,0.9581509884413817
20160506  19:00:00,0.9609319428306844
20160506  20:00:00,0.9625992476114829
20160506  21:00:00,0.9629331905701118
20160509  15:30:00,0.9711688377445763
20160509  16:00:00,0.9677238974518075
20160509  17:00:00,0.968436683382678
20160509  18:00:00,0.9672591215028169
20160509  19:00:00,0.9667963408043897
20160509  20:00:00,0.9685786191395485
20160509  21:00:00,0.9650506396958625
20160510  15:30:00,0.968350592442072
20160510  16:00:00,0.971528534001939
20160510  17:00:00,0.9725823131064169
20160510  18:00:00,0.9747370882913412
20160510  19:00:00,0.9749702232367882
20160510  20:00:00,0.9753392666692001
20160510  21:00:00,0.9792552129084727
20160511  15:30:00,0.9793270119283346
20160511  16:00:00,0.9806914920219261
20160511  17:00:00,0.9805549607132436
20160511  18:00:00,0.9798882711279339
