Date,ret
20200526  15:40:00,1.0
20200526  15:50:00,1.0
20200526  16:00:00,0.9999830085822514
20200526  16:10:00,1.0002994493215682
20200526  16:20:00,0.999558657732669
20200526  16:30:00,0.9992787564895833
20200526  16:40:00,0.9981919230904636
20200526  16:50:00,0.9986508977514892
20200526  17:00:00,0.9983421725305196
20200526  17:10:00,0.9962403159466132
20200526  17:20:00,0.9961117077847488
20200526  17:30:00,0.9961824036743613
20200526  17:40:00,0.9953769395266332
20200526  17:50:00,0.995831339764334
20200526  18:00:00,0.996025435968356
20200526  18:10:00,0.9964033844501273
20200526  18:20:00,0.996548352600311
20200526  18:30:00,0.9969100184953567
20200526  18:40:00,0.9967424455523831
20200526  18:50:00,0.9971244013086649
20200526  19:00:00,0.9968862417913179
20200526  19:10:00,0.9956576091908724
20200526  19:20:00,0.9954715279725732
20200526  19:30:00,0.9949829712141406
20200526  19:40:00,0.9948794801745843
20200526  19:50:00,0.9949550494749013
20200526  20:00:00,0.9950495925980044
20200526  20:10:00,0.9950039787872702
20200526  20:20:00,0.9959146530938414
20200526  20:30:00,0.9957394200362008
20200526  20:40:00,0.9946925481170837
20200526  20:50:00,0.9949251088953148
20200526  21:00:00,0.9949936691707358
20200526  21:10:00,0.9944284667111591
20200526  21:20:00,0.9948122382004507
20200526  21:30:00,0.993878344924731
20200526  21:40:00,0.9939421547070705
20200526  21:50:00,0.9939348688671386
20200527  15:30:00,0.9948176423834434
20200527  15:40:00,0.9932699880016576
20200527  15:50:00,0.9907625976916358
20200527  16:00:00,0.9894388077741555
20200527  16:10:00,0.9897962208445669
20200527  16:20:00,0.9887751344760487
20200527  16:30:00,0.9866350089939689
20200527  16:40:00,0.9826118666481611
20200527  16:50:00,0.9819279059679585
20200527  17:00:00,0.9825592848778479
20200527  17:10:00,0.9830725421654722
20200527  17:20:00,0.9827812174661215
20200527  17:30:00,0.983380124095273
20200527  17:40:00,0.9848491027464965
20200527  17:50:00,0.9847750972848217
20200527  18:00:00,0.9855771396744636
20200527  18:10:00,0.9858101783033617
20200527  18:20:00,0.9858188094497286
20200527  18:30:00,0.986770342712299
20200527  18:40:00,0.989257013388791
20200527  18:50:00,0.9883636019327842
20200527  19:00:00,0.989342152345338
20200527  19:10:00,0.9897062889352822
20200527  19:20:00,0.9899843044182837
