Company,Ticker,Product,Market,Currency,Industry
Tecogen Inc (TGEN),TGEN,Stock,OTCMKTS,USD,Energy-saving technology
Tomra Systems ASA,TMR.DU,Stock,FRA,EUR,Circular economy
Getlink SE,TNU3.DU,Stock,FRA,EUR,Transportation of the future
TPI Composites Inc,TPIC,Stock,NASDAQ,USD,Renewable energy
Tesla (TSLA),TSLA,Stock,NASDAQ,USD,Transportation of the future
United Utilities Group PLC,UUEC.BE,Stock,FRA,EUR,Clean water and oceans
Veolia Environnement SA,VVD.DE,Stock,FRA,EUR,Circular economy
Vestas Wind Systems AS ADR (VWDRY),VWDRY,Stock,OTCMKTS,USD,Renewable energy
Waste Management (WM),WM,Stock,NYSE,USD,Circular economy
Xylem Inc,XYL,Stock,NYSE,USD,Clean water and oceans
Blink Charging Co,BLNK,Stock,NASDAQ,USD,Transportation of the future
Switchback Energy,SBE,Stock,NYSE,USD,Transportation of the future
US Ecology Inc,ECOL,Stock,NASDAQ,USD,Clean water and oceans
"SunOpta, Inc.",STKL,Stock,NASDAQ,USD,Plant-based food
"Schnitzer Steel Industries, Inc.",SCHN,Stock,NASDAQ,USD,Circular economy
CECO Environmental Corp.,CECE,Stock,NASDAQ,USD,Energy-saving technology
Consolidated Water Co. Ltd.,CWCO,Stock,NASDAQ,USD,Clean water and oceans
Pentair PLC,PNR,Stock,NYSE,USD,Clean water and oceans
QuantumScape Corporation,QS,Stock,NYSE,USD,Transportation of the future
CIIG Merger Corp,CIIC,Stock,NASDAQ,USD,Transportation of the future
