Company,Ticker,Market,Industry,KwH per USD,KG CO2 per USD,Gallons water per USD,url,CEO
Lordstown motor,RIDE,NASDAQ,Transportation of the future,-,-,-,https://lordstownmotors.com,Stephen S. Burns
Nextera Energy Partners,NEP,NYSE,Renewable energy,0.342544922,-,-,https://www.nexteraenergy.com/,James Robo
NIKOLA,NKLA,NASDAQ,Transportation of the future,-,-,-,http://nikolamotor.com/,Mark Russell
NIO Limited,NIO,NYSE,Transportation of the future,-,-,-,https://www.nio.com,Bin Li
NIU Technologies,NIU,NASDAQ,Transportation of the future,0.42325345,-,-,https://www.niu.com,Yan Li
ON Semiconductor,ON,NASDAQ,Energy-saving technology,-,-,-,http://www.onsemi.com/ ,"Keith Jackson
"
Orion Energy Systems,OESX,NASDAQ,Energy-saving technology,-,-,-,https://www.orionlighting.com,Michael W. Altschaefl
Ormat Technologies,ORA,NYSE,Renewable energy,0.08910988,-,-,https://www.ormat.com/ ,Doron Blachar
Pentair,PNR,NYSE,Clean water and oceans,-,-,0.8,https://www.pentair.com/,John Stauch
Plug Power,PLUG,NASDAQ,Transportation of the future,-,-,-,http://www.plugpower.com,Andrew Marsh
Power Integrations,POWI,NASDAQ,Energy-saving technology,1,-,-,https://www.power.com/,Balu Balakrishnan
Quantumscape,QS,NASDAQ,Transportation of the future,-,-,-,https://www.quantumscape.com,Jagdeep Singh
Ranpak Holdings,PACK,NYSE,Circular economy,0.369607576,-,-,https://www.ranpak.com,Omar Asali
ReneSola,SOL,NYSE,Renewable energy,0.231618947,-,-,http://www.renesolapower.com/,Yumin Liu
Renewable Energy Group,REGI,NASDAQ,Renewable energy,-,-,-,https://www.regi.com,Cynthia Warner
Republic Services,RSG,NYSE,Circular economy,1,-,-,http://www.republicservices.com/,Donald Slager
Research Frontiers,REFR,NASDAQ,Energy-saving technology,-,0.5,-,https://www.smartglass.com,Joseph Harary
SABESP,SBS,NYSE,Clean water and oceans,-,2.69E-05,5,http://www.sabesp.com.br,Benedito Pinto Ferreira Braga
Schnitzer Steel Industries,SCHN,NASDAQ,Circular economy,1,-,-,http://www.schnitzersteel.com/,Tamara Lundgren
SJW Water,SJW,NYSE,Clean water and oceans,-,2.52E-07,0.251506805,https://www.sjwater.com,Eric W. Thornburg
Solaredge Technologies,SEDG,NASDAQ,Renewable energy,0.939616501,-,-,https://www.solaredge.com/,Guy Sella
Stericycle,SRCL,NASDAQ,Circular economy,1,-,-,https://www.stericycle.com,Cindy Miller
Sunnova Energy International,NOVA,NYSE,Renewable energy,-,-,-,https://www.sunnova.com/,William Jackson Berger
SunPower Corporation,SPWR,NASDAQ,Renewable energy,-,-,-,https://us.sunpower.com/,Thomas Werner
Sunrun,RUN,NASDAQ,Renewable energy,0.081897703,-,-,http://www.sunrun.com/,Lynn Jurich
Tattoed chef,TTCF,NASDAQ,Plant-based food,-,-,-,https://tattooedchef.com,Sam Galletti
Tesla,TSLA,NASDAQ,Transportation of the future,-,-,-,https://www.tesla.com/ ,Elon Musk
Tetra tech,TTEK,NASDAQ,Clean water and oceans,-,-,-,https://www.tetratech.com/,Dan Batrack
TPI Composites,TPIC,NASDAQ,Renewable energy,-,-,-,http://www.tpicomposites.com,William Siwek
Trane Technologies,TT,NYSE,Energy-saving technology,0.7,-,-,https://www.tranetechnologies.com/,Michael Lamach
Ultralife Batteries,ULBI,NASDAQ,Energy-saving technology,-,0.1,-,https://www.ultralifecorporation.com/,Michael Popielec
Universal Display Corporation,OLED,NASDAQ,Energy-saving technology,-,-,-,https://oled.com,Steven V. Abramson
US Ecology,ECOL,NASDAQ,Clean water and oceans,1,5.74E-08,0.057381689,https://www.usecology.com,Jeff Feeler
Veeco Instruments,VECO,NASDAQ,Energy-saving technology,-,5.00E-01,-,http://www.veeco.com/,William Miller
Vertex Energy,VTNR,NASDAQ,Circular economy,1,-,-,http://www.vertexenergy.com/,Benjamin Cowart
Wabtec,WAB,NYSE,Transportation of the future,-,-,-,https://www.wabtec.com/,Rafael Santana
Waste Connections,WCN,NYSE,Circular economy,1,-,-,http://www.progressivewaste.com/,Worthing F Jackman
Waste Management,WM,NYSE,Circular economy,1,-,-,https://www.wm.com/,James Fish
Willdan Group,WLDN,NYSE,Energy-saving technology,-,-,-,http://www.willdan.com/,Thomas Brisbin
Xylem,XYL,NYSE,Clean water and oceans,-,-,0.27,https://www.xylem.com/,Patrick Decker
